iter	Logloss
188	0.568797634
189	0.5687712359
190	0.568758483
191	0.5687405999
192	0.5687261185
193	0.5687134096
194	0.5686950511
195	0.5686730362
196	0.5686585514
197	0.5686479725
198	0.5686230088
199	0.5685982365
200	0.5685758207
201	0.568561906
202	0.5685424952
203	0.5685221801
204	0.5684950548
205	0.5684764476
206	0.5684652189
207	0.5684430692
208	0.5684245932
209	0.5684099702
210	0.5683939657
211	0.5683794666
212	0.5683598713
213	0.568343086
214	0.5683262652
215	0.5683088493
216	0.5682872072
217	0.5682702871
218	0.5682448992
219	0.5682260131
220	0.5681996157
221	0.5681800038
222	0.5681591302
223	0.5681386312
224	0.5681236459
225	0.5681098844
226	0.5680953143
227	0.5680739741
228	0.5680551286
229	0.5680397208
230	0.5680282194
231	0.5680118548
232	0.5679922828
233	0.5679804934
234	0.567963119
235	0.5679434298
236	0.5679276979
237	0.567914091
238	0.5678940599
239	0.5678770584
240	0.5678560288
241	0.5678408874
242	0.5678248699
243	0.567806481
244	0.5677901486
245	0.567776607
246	0.5677654788
247	0.5677443223
248	0.5677323119
249	0.5677297938
250	0.567710723
251	0.5676985656
252	0.5676861802
253	0.567671475
254	0.5676531141
255	0.5676407753
256	0.5676258833
257	0.5676114882
258	0.5675915514
259	0.5675785052
260	0.56756714
261	0.5675437691
262	0.5675313901
263	0.5675200592
264	0.5675083582
265	0.5674906291
266	0.5674681928
267	0.5674481465
268	0.5674333872
269	0.5674179014
270	0.5673943148
271	0.5673773653
272	0.5673666516
273	0.5673563024
274	0.5673470174
275	0.5673292372
276	0.567311091
277	0.5672985575
278	0.5672912785
279	0.5672724139
280	0.5672553618
281	0.5672354117
282	0.5672178855
283	0.5672034138
284	0.5671727007
285	0.5671600336
286	0.567138206
287	0.5671276157
288	0.5671125625
289	0.567112303
290	0.5670971673
291	0.5670840113
292	0.5670679127
293	0.5670522522
294	0.5670370825
295	0.5670188331
296	0.5669979459
297	0.5669844794
298	0.566970061
299	0.5669459885
300	0.5669263619
301	0.5669137828
302	0.566899016
303	0.5668874413
304	0.5668782213
305	0.5668575396
306	0.5668426711
307	0.566825308
308	0.5668129825
309	0.5667910444
310	0.5667691629
311	0.5667535217
312	0.5667388288
313	0.56672642
314	0.5667068566
315	0.566692159
316	0.5666752692
317	0.5666571475
318	0.5666488053
319	0.5666319251
320	0.5666141988
321	0.5666061184
322	0.566592922
323	0.566573966
324	0.566568603
325	0.5665495528
326	0.5665380389
327	0.5665251598
328	0.5665090844
329	0.5665027555
330	0.5664942101
331	0.5664817856
332	0.5664660273
333	0.5664597496
334	0.5664596716
335	0.5664479573
336	0.5664325891
337	0.5664180527
338	0.5664096458
339	0.5663981637
340	0.5663842507
341	0.5663623368
342	0.5663476167
343	0.5663332624
344	0.5663220574
345	0.5663097895
346	0.5662937683
347	0.5662822028
348	0.5662698235
349	0.5662583292
350	0.5662513553
351	0.5662397433
352	0.566228063
353	0.56621264
354	0.5661987075
355	0.5661837723
356	0.5661814307
357	0.5661663115
358	0.5661536572
359	0.566134573
360	0.5661180408
361	0.5661104176
362	0.5660962971
363	0.5660951144
364	0.5660816164
365	0.5660661973
366	0.5660523073
367	0.5660515402
368	0.5660502135
369	0.56603489
370	0.5660137633
371	0.5660064155
372	0.5660017903
373	0.5659878961
374	0.5659812985
375	0.5659737028
376	0.5659646591
377	0.5659487729
378	0.5659484307
379	0.5659395497
380	0.5659333224
381	0.5659216758
382	0.5659051701
383	0.5658925483
384	0.5658836767
385	0.5658738721
386	0.5658604626
387	0.5658495907
388	0.5658471237
389	0.5658362088
390	0.5658253368
391	0.5658168933
392	0.5658042353
393	0.5657882141
394	0.5657799553
395	0.5657700231
396	0.565757264
397	0.5657568146
398	0.5657434396
399	0.5657274776
400	0.5657169342
401	0.5657066229
402	0.5656783802
403	0.5656630526
404	0.5656551555
405	0.5656439132
406	0.5656350085
407	0.56563472
408	0.5656188474
409	0.5656063112
410	0.5655900398
411	0.565581115
412	0.5655660077
413	0.5655541034
414	0.5655406096
415	0.5655327376
416	0.5655187305
417	0.5655115585
418	0.5655002873
419	0.5654866869
420	0.5654785338
421	0.5654659696
422	0.5654550977
423	0.5654391898
424	0.5654388327
425	0.5654383524
426	0.5654269403
427	0.5654156014
428	0.565406526
429	0.5653974449
430	0.565382025
431	0.5653815414
432	0.5653712041
433	0.5653632353
434	0.5653478623
435	0.5653337468
436	0.5653158234
437	0.5653007228
438	0.5652913634
439	0.5652841294
440	0.5652715073
441	0.5652690624
442	0.5652559206
443	0.5652445437
444	0.5652344655
445	0.5652204166
446	0.5652169322
447	0.5652029339
448	0.5651871785
449	0.5651791062
450	0.5651740578
451	0.565164436
452	0.5651504471
453	0.5651338388
454	0.5651230068
455	0.5651142159
456	0.5651029849
457	0.5650957746
458	0.5650885524
459	0.5650772856
460	0.5650676432
461	0.5650554996
462	0.565055467
463	0.5650450029
464	0.5650330587
465	0.5650259652
466	0.5650043779
467	0.5649950305
468	0.5649852754
469	0.564971568
470	0.564958878
471	0.564949969
472	0.564933115
473	0.5649252513
474	0.5649117585
475	0.5649112908
476	0.5649019673
477	0.5648845333
478	0.5648723317
479	0.5648646284
480	0.5648557399
481	0.5648396832
482	0.5648345185
483	0.5648263625
484	0.5648087495
485	0.5648025742
486	0.5647947476
487	0.5647755705
488	0.5647604706
489	0.5647401492
490	0.5647205506
491	0.5647017669
492	0.5646888498
493	0.5646775672
494	0.5646682799
495	0.5646593488
496	0.5646486935
497	0.564640372
498	0.5646227582
499	0.564609549
500	0.5646047074
501	0.5645871851
502	0.5645868827
503	0.5645743506
504	0.5645599933
505	0.5645465767
506	0.5645373619
507	0.5645289079
508	0.5645284727
509	0.5645165395
510	0.5645087804
511	0.5644996458
512	0.5644896543
513	0.5644712217
514	0.5644600676
515	0.5644505546
516	0.56444162
517	0.5644235636
518	0.5644114739
519	0.5643971556
520	0.5643807514
521	0.5643783624
522	0.564372537
523	0.5643662448
524	0.5643551046
525	0.5643451878
526	0.5643363681
527	0.5643257864
528	0.5643200287
529	0.564310378
530	0.5643003506
531	0.5642867875
532	0.5642761414
533	0.5642653215
534	0.5642482663
535	0.5642374061
536	0.5642219336
537	0.5642115743
538	0.564194732
539	0.5641860685
540	0.5641727722
541	0.5641697499
542	0.5641536347
543	0.5641356425
544	0.5641254374
545	0.5641177738
546	0.564115746
547	0.564099602
548	0.5640915469
549	0.5640886652
550	0.5640762508
551	0.564065673
552	0.5640520125
553	0.5640406446
554	0.5640359939
555	0.5640187532
556	0.5640093679
557	0.5639990114
558	0.5639872459
559	0.5639787563
560	0.5639712262
561	0.563964979
562	0.5639539749
563	0.563944537
564	0.5639376169
565	0.5639209997
566	0.5639141566
567	0.5639072289
568	0.5638970944
569	0.5638879584
570	0.5638796999
571	0.5638707509
572	0.5638592062
573	0.5638491584
574	0.5638394124
575	0.5638277475
576	0.5638174827
577	0.5638003579
578	0.5637847165
579	0.5637725047
580	0.5637595867
581	0.5637509878
582	0.5637439726
583	0.5637293369
584	0.5637183037
585	0.5637083249
586	0.5636873627
587	0.5636805816
588	0.5636701703
589	0.5636573324
590	0.5636435638
591	0.5636322368
592	0.5636241574
593	0.5636158356
594	0.5636055877
595	0.5635902348
596	0.5635755595
597	0.5635670862
598	0.5635361486
599	0.5635315888
600	0.5635140205
601	0.5635080575
602	0.5634966009
603	0.5634810434
604	0.5634657495
605	0.5634475314
606	0.5634341864
607	0.5634235438
608	0.5634132841
609	0.5634047265
610	0.563394314
611	0.5633849378
612	0.5633738623
613	0.5633602631
614	0.5633396772
615	0.5633282791
616	0.5633160939
617	0.5633084088
618	0.5633080201
619	0.5632912162
620	0.5632864079
621	0.5632847115
622	0.5632731446
623	0.5632727248
624	0.5632545842
625	0.5632364168
626	0.5632286711
627	0.5632214897
628	0.5632021009
629	0.5631867313
630	0.5631716373
631	0.5631632959
632	0.5631511488
633	0.563146592
634	0.5631364866
635	0.5631264313
636	0.5631245627
637	0.563116169
638	0.563099865
639	0.5630918561
640	0.563072008
641	0.5630597552
642	0.56304599
643	0.563036843
644	0.5630346127
645	0.5630341917
646	0.5630263707
647	0.5630192783
648	0.5630118499
649	0.5630011129
650	0.5629906088
651	0.5629757798
652	0.5629626251
653	0.5629562249
654	0.5629420679
655	0.5629296834
656	0.5629181965
657	0.5629102237
658	0.5629033982
659	0.5628954749
660	0.562887343
661	0.5628756033
662	0.5628686519
663	0.5628630391
664	0.5628520996
665	0.5628423614
666	0.5628402555
667	0.5628297616
668	0.5628277508
669	0.5628116921
670	0.5628030873
671	0.5627986495
672	0.5627839248
673	0.5627836082
674	0.5627761163
675	0.5627723644
676	0.5627580351
677	0.5627500593
678	0.5627374814
679	0.5627224243
680	0.5627110966
681	0.5627079725
682	0.5627013117
683	0.5626933631
684	0.5626835927
685	0.5626662508
686	0.5626581685
687	0.5626417295
688	0.5626299678
689	0.562617058
690	0.562606649
691	0.5626004209
692	0.5625996134
693	0.5625880852
694	0.562572493
695	0.5625653285
696	0.5625596341
697	0.56254796
698	0.5625310353
699	0.5625209105
700	0.5625117154
701	0.5625054867
702	0.5624936265
703	0.562483603
704	0.5624781106
705	0.5624711225
706	0.5624629817
707	0.5624537294
708	0.5624453652
709	0.5624342375
710	0.5624264852
711	0.5624099522
712	0.5624033824
713	0.5623935423
714	0.5623806422
715	0.5623713743
716	0.5623538655
717	0.5623399793
718	0.5623314862
719	0.5623206285
720	0.5623103042
721	0.5622994329
722	0.5622874242
723	0.5622778479
724	0.5622561912
725	0.5622451102
726	0.5622400094
727	0.5622297519
728	0.5622272708
729	0.5622215123
730	0.562207901
731	0.5622036232
732	0.5621866081
733	0.5621776265
734	0.5621609358
735	0.5621335581
736	0.5621211658
737	0.5621170823
738	0.5621094752
739	0.5621025597
740	0.5620924521
741	0.5620848746
742	0.5620815118
743	0.5620743049
744	0.5620737835
745	0.5620627613
746	0.5620567964
747	0.5620441758
748	0.5620293083
749	0.5620213948
750	0.5620203961
751	0.5620200331
752	0.5620100037
753	0.5619906959
754	0.5619846282
755	0.5619778151
756	0.5619741501
757	0.5619682555
758	0.561963497
759	0.5619485013
760	0.5619381746
761	0.5619264063
762	0.5619232916
763	0.5619092786
764	0.5618970601
765	0.5618905085
766	0.5618828868
767	0.5618750487
768	0.5618702011
769	0.5618620759
770	0.5618503185
771	0.5618445138
772	0.5618377693
773	0.5618312201
774	0.5618123804
775	0.5618067201
776	0.5618035569
777	0.5617966309
778	0.561790018
779	0.5617900035
780	0.5617845144
781	0.5617747226
782	0.5617596292
783	0.5617499312
784	0.5617362727
785	0.5617228545
786	0.561713466
787	0.5617028221
788	0.5616974521
789	0.561685687
790	0.5616766333
791	0.5616665499
792	0.5616523722
793	0.5616378016
