iter	Passed	Remaining
421	2291	52007
422	2296	51999
423	2301	51985
424	2307	51980
425	2312	51976
426	2318	51972
427	2323	51963
428	2330	51982
429	2335	51979
430	2341	51981
431	2346	51969
432	2351	51949
433	2356	51947
434	2362	51945
435	2367	51940
436	2373	51943
437	2378	51920
438	2383	51912
439	2389	51910
440	2394	51894
441	2399	51888
442	2404	51863
443	2409	51864
444	2415	51865
445	2420	51854
446	2425	51845
447	2431	51839
448	2437	51842
449	2442	51835
450	2448	51832
451	2453	51833
452	2458	51816
453	2463	51808
454	2469	51807
455	2474	51791
456	2479	51769
457	2484	51765
458	2489	51758
459	2495	51756
460	2501	51751
461	2506	51737
462	2510	51707
463	2515	51705
464	2521	51704
465	2527	51704
466	2532	51690
467	2537	51683
468	2542	51677
469	2548	51675
470	2553	51656
471	2558	51650
472	2564	51648
473	2570	51650
474	2575	51647
475	2581	51644
476	2586	51629
477	2591	51629
478	2597	51633
479	2603	51627
480	2608	51629
481	2614	51622
482	2619	51619
483	2625	51618
484	2631	51620
485	2636	51620
486	2642	51618
487	2647	51613
488	2653	51618
489	2659	51621
490	2664	51602
491	2670	51602
492	2676	51605
493	2681	51591
494	2686	51588
495	2691	51570
496	2696	51560
497	2701	51553
498	2707	51549
499	2712	51532
500	2718	51534
501	2723	51532
502	2729	51534
503	2734	51526
504	2740	51524
505	2745	51518
506	2751	51516
507	2756	51499
508	2761	51492
509	2767	51494
510	2772	51480
511	2777	51479
512	2783	51470
513	2788	51459
514	2793	51444
515	2798	51444
516	2804	51446
517	2810	51446
518	2815	51426
519	2821	51430
520	2826	51432
521	2832	51427
522	2837	51408
523	2842	51407
524	2848	51399
525	2853	51387
526	2858	51387
527	2864	51391
528	2870	51389
529	2875	51377
530	2880	51362
531	2885	51360
532	2891	51361
533	2897	51361
534	2902	51353
535	2908	51352
536	2914	51352
537	2919	51347
538	2925	51355
539	2931	51353
540	2936	51342
541	2942	51339
542	2948	51348
543	2953	51345
544	2960	51352
545	2964	51336
546	2970	51330
547	2976	51337
548	2981	51330
549	2987	51327
550	2993	51327
551	2998	51324
552	3004	51325
553	3010	51322
554	3015	51321
555	3021	51330
556	3027	51331
557	3033	51326
558	3039	51326
559	3044	51322
560	3050	51322
561	3056	51323
562	3061	51317
563	3067	51316
564	3072	51315
565	3079	51321
566	3084	51317
567	3090	51314
568	3096	51315
569	3101	51313
570	3107	51313
571	3112	51294
572	3117	51295
573	3123	51290
574	3129	51291
575	3134	51280
576	3140	51283
577	3146	51285
578	3151	51285
579	3157	51283
580	3163	51281
581	3168	51279
582	3174	51271
583	3179	51265
584	3184	51257
585	3189	51237
586	3194	51229
587	3199	51220
588	3204	51203
589	3209	51183
590	3215	51186
591	3220	51183
592	3226	51183
593	3232	51181
594	3237	51178
595	3243	51171
596	3249	51173
597	3254	51169
598	3260	51168
599	3265	51159
600	3271	51156
601	3276	51149
602	3281	51133
603	3285	51112
604	3291	51112
605	3296	51105
606	3301	51092
607	3307	51093
608	3312	51086
609	3318	51080
610	3323	51066
611	3328	51060
612	3334	51057
613	3339	51048
614	3344	51043
615	3351	51049
616	3357	51054
617	3363	51059
618	3369	51059
619	3375	51060
